Name,Country,Budget,Beach,Hiking,Food,History,Photography,Surfing,Skiing,Nature,Relaxing,Nightlife,Party,City,Culture,Adventure,Image_url,Description
Marrakech,Morocco,low,0,0,1,1,1,0,0,0,0,1,1,1,1,1,https://images.unsplash.com/photo-1597212618440-806262de4f6b?q=80&w=1473&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A colorful city filled with traditional markets, palaces, gardens, and historic architecture. Activities include exploring souks, trying Moroccan food, visiting landmarks, and taking trips to the Atlas Mountains."
Hanoi,Vietnam,low,0,1,1,1,1,0,0,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1599708153386-62bf3f035c78?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic and lively city known for its Old Quarter, lakes, temples, and street food. Visitors can explore cultural sites, markets, local neighborhoods, and nearby countryside."
Mexico City,Mexico,low,0,0,1,1,1,0,0,0,0,1,1,1,1,1,https://images.unsplash.com/photo-1601585144584-2a53183be14c?q=80&w=1550&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A massive cultural city with museums, historic districts, parks, and famous food. Activities include sightseeing, visiting museums, exploring markets, and trying Mexican cuisine."
Paris,France,high,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?q=80&w=1473&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A famous cultural city filled with historic landmarks, museums, gardens, and beautiful architecture. Visitors can explore monuments, museums, parks, cafes, and historic neighborhoods."
Rome,Italy,mid,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1555992828-ca4dbe41d294?q=80&w=1528&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic city packed with ancient ruins, grand architecture, plazas, and Italian food. Activities include exploring ancient sites, museums, fountains, markets, and local restaurants."
Istanbul,Turkey,low,1,0,1,1,1,0,0,0,0,1,1,1,1,1,https://images.unsplash.com/photo-1527838832700-5059252407fa?q=80&w=1598&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A unique city connecting Europe and Asia, with historic landmarks, markets, and the Bosphorus. Visitors can explore palaces, mosques, bazaars, take boat trips, and try Turkish cuisine."
Cape Town,South Africa,mid,1,1,1,1,1,1,0,1,1,1,1,1,1,1,https://images.unsplash.com/photo-1576485375217-d6a95e34d043?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A spectacular coastal city surrounded by mountains, beaches, and natural scenery. Activities include hiking, surfing, sightseeing, visiting beaches, and exploring the Cape Peninsula."
Cusco,Peru,low,0,1,1,1,1,0,0,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1526392060635-9d6019884377?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic mountain city surrounded by spectacular Andean landscapes. Visitors can explore ancient sites, hike, experience local culture, and take trips toward Machu Picchu."
Dubrovnik,Croatia,mid,1,0,1,1,1,0,0,0,1,1,1,1,1,1,https://images.unsplash.com/photo-1555990793-da11153b2473?q=80&w=1471&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A beautiful coastal city known for its medieval walls, blue sea, and historic Old Town. Activities include sightseeing, swimming, kayaking, boat trips, and exploring nearby islands."
Santorini,Greece,high,1,1,1,1,1,0,0,0,1,1,0,1,1,1,https://plus.unsplash.com/premium_photo-1661964149725-fbf14eabd38c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A stunning island famous for whitewashed villages, cliffs, blue waters, and spectacular sunsets. Visitors can explore villages, relax on beaches, hike, take boat trips, and enjoy Greek food."
Dublin,Ireland,high,0,1,1,1,1,0,0,1,0,1,1,1,1,0,https://images.unsplash.com/photo-1602061464448-5859b31eb1b8?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A friendly historic city with parks, museums, traditional architecture, and a lively atmosphere. Activities include sightseeing, exploring historic areas, visiting museums, and enjoying Irish food and culture."
Edinburgh,United Kingdom,mid,0,1,1,1,1,0,0,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic Scottish city surrounded by hills and famous for its castle and old streets. Visitors can explore the castle, hike Arthur's Seat, visit museums, and explore the Old Town."
Vienna,Austria,high,0,1,1,1,1,0,1,1,0,1,1,1,1,0,https://images.unsplash.com/photo-1516550893923-42d28e5677af?q=80&w=2944&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A grand European city known for palaces, museums, parks, and classical architecture. Activities include sightseeing, visiting palaces and museums, exploring parks, and enjoying Austrian cuisine."
Interlaken,Switzerland,high,0,1,1,0,1,0,1,1,1,0,0,0,0,1,https://images.unsplash.com/photo-1506351487281-fd19470d8bf4?q=80&w=1287&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A spectacular alpine destination surrounded by mountains, lakes, and green valleys. Visitors can hike, ski, paraglide, boat on the lakes, and enjoy breathtaking mountain views."
Berlin,Germany,mid,0,0,1,1,1,0,0,0,0,1,1,1,1,1,https://images.unsplash.com/photo-1599946347371-68eb71b16afc?q=80&w=2940&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A modern and historic city with museums, parks, landmarks, and a vibrant cultural scene. Activities include sightseeing, visiting museums, exploring historic sites, and enjoying local food."
Brussels,Belgium,mid,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://plus.unsplash.com/premium_photo-1661962364008-85ad40328d89?q=80&w=2942&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic European city known for grand squares, architecture, museums, and Belgian food. Visitors can explore historic streets, visit landmarks, try chocolates and waffles, and visit museums."
Copenhagen,Denmark,high,1,0,1,1,1,0,0,0,1,1,1,1,1,1,https://images.unsplash.com/photo-1552560880-2482cef14240?q=80&w=1343&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A colorful coastal city with canals, parks, historic buildings, and a strong cycling culture. Activities include cycling, sightseeing, exploring canals, visiting museums, and trying Danish food."
Stockholm,Sweden,high,0,1,1,1,1,0,0,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1509356843151-3e7d96241e11?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A beautiful city spread across islands with waterways, forests, and historic neighborhoods. Visitors can explore the old town, visit museums, take boat trips, and enjoy parks and nature."
Oslo,Norway,high,0,1,1,1,1,0,1,1,1,1,1,1,1,1,https://images.unsplash.com/photo-1594317568093-b27c52bb8d73?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A scenic capital surrounded by forests, mountains, and the Oslofjord. Activities include hiking, skiing, exploring museums, taking boat trips, and enjoying the city's waterfront."
Krakow County,Poland,low,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1783490542555-3f31904760c3?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A region combining historic towns, countryside, forests, and cultural attractions. Visitors can explore historic sites, hike, visit castles, and discover traditional Polish culture."
Budapest,Hungary,low,0,0,1,1,1,0,0,0,1,1,1,1,1,1,https://images.unsplash.com/photo-1616432902940-b7a1acbc60b3?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A beautiful riverside city famous for historic architecture, bridges, and thermal baths. Activities include sightseeing, Danube cruises, visiting castles, exploring markets, and relaxing in thermal baths."
Ljubljana,Slovenia,mid,0,1,1,1,1,0,0,1,1,1,0,1,1,1,https://images.unsplash.com/photo-1716831313996-307f651b18c6?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A charming small capital surrounded by green landscapes and close to mountains and lakes. Visitors can explore the old town, cycle, visit the castle, and take trips into nature."
Belgrade,Serbia,low,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1608816747977-4d303f476571?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A lively riverside city with historic landmarks, parks, markets, and a vibrant atmosphere. Activities include exploring the fortress, walking along the rivers, sightseeing, and trying Serbian food."
Sofia,Bulgaria,low,0,1,1,1,1,0,1,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1570577488928-93d97a82e041?q=80&w=2835&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic city surrounded by mountains, parks, and natural scenery. Visitors can explore churches and museums, hike Vitosha Mountain, and discover Bulgarian food and culture."
Bucharest,Romania,low,0,1,1,1,1,0,1,1,0,1,1,1,1,0,https://images.unsplash.com/photo-1574616979112-f9f52d3747f8?q=80&w=1287&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A lively capital with historic buildings, parks, museums, and a bustling city center. Activities include exploring the Old Town, visiting museums, sightseeing, and enjoying Romanian cuisine."
Split,Croatia,mid,1,1,1,1,1,0,0,1,1,1,1,1,1,1,https://images.unsplash.com/photo-1555990538-c48ab0a194b5?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8c3BsaXQlMjBjcm9hdGlhfGVufDB8fDB8fHww,"A coastal city with beautiful beaches, historic Roman architecture, and nearby islands. Visitors can explore Diocletian's Palace, swim, hike, kayak, and take island trips."
Kotor,Montenegro,low,1,1,1,1,1,0,0,1,1,1,0,0,1,1,https://images.unsplash.com/photo-1614122027743-50a9e6e8002f?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8a290b3J8ZW58MHx8MHx8fDA%3D,"A picturesque coastal town surrounded by dramatic mountains and the Bay of Kotor. Activities include hiking, exploring the Old Town, kayaking, swimming, and taking boat trips."
Tbilisi,Georgia,low,0,1,1,1,1,0,1,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1561731172-9d906d7b13bf?q=80&w=2148&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A colorful historic city surrounded by hills and known for its distinctive architecture and food. Visitors can explore the Old Town, visit fortresses, hike, and try Georgian cuisine."
Yerevan,Armenia,low,0,1,1,1,1,0,1,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1600758208050-a22f17dc5bb9?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic city with mountain views, parks, museums, and distinctive architecture. Activities include sightseeing, exploring cultural sites, visiting markets, and taking trips into the surrounding countryside."
Kathmandu,Nepal,low,0,1,1,1,1,0,0,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1529733905113-027ed85d7e33?q=80&w=1287&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A culturally rich city surrounded by mountains and famous temples and historic sites. Visitors can explore temples, markets, and cultural landmarks, as well as hike and begin mountain adventures."
Goa,India,low,1,0,1,1,1,1,0,1,1,1,1,1,1,1,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?q=80&w=2048&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A tropical coastal destination known for beaches, palm trees, Portuguese architecture, and a lively atmosphere. Activities include swimming, water sports, sightseeing, exploring local food, and relaxing on beaches."
Dubai,United Arab Emirates,high,1,0,1,0,1,0,0,0,1,1,1,1,1,1,https://images.unsplash.com/photo-1708361089093-beef4c4584e7?q=80&w=2232&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A modern city known for skyscrapers, luxury attractions, beaches, and desert landscapes. Visitors can explore landmarks, shop, enjoy water activities, and go on desert adventures."
Singapore,Singapore,high,1,0,1,1,1,0,0,0,1,1,1,1,1,1,https://images.unsplash.com/photo-1525625293386-3f8f99389edd?q=80&w=2104&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A modern city-state combining skyscrapers, gardens, beaches, and diverse cultures. Activities include exploring Gardens by the Bay, visiting attractions, trying different cuisines, shopping, and enjoying waterfront areas."
Kuala Lumpur,Malaysia,low,0,1,1,1,1,0,0,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1596422846543-75c6fc197f07?q=80&w=2364&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A multicultural city surrounded by tropical landscapes and known for its food and modern architecture. Visitors can explore the Petronas Towers, markets, temples, and nearby nature areas."
Boracay,Philippines,low,1,0,1,0,1,1,0,0,1,1,1,0,0,1,https://plus.unsplash.com/premium_photo-1707029171056-fe5ef2b558f0?q=80&w=2671&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A tropical island famous for white-sand beaches, clear blue water, and beautiful sunsets. Activities include swimming, snorkeling, diving, island-hopping, and other water sports."
Sydney,Australia,high,1,1,1,0,1,1,0,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1546268060-2592ff93ee24?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A vibrant coastal city with famous beaches, harbors, parks, and natural scenery. Visitors can explore the Opera House, surf, visit beaches, hike coastal trails, and enjoy the harbor."
Vancouver,Canada,high,1,1,1,0,1,0,1,1,0,1,1,1,1,1,https://images.unsplash.com/photo-1609825488888-3a766db05542?q=80&w=2664&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A scenic city surrounded by mountains, forests, and the Pacific Ocean. Activities include hiking, skiing, cycling, kayaking, exploring parks, and enjoying the city's waterfront."
New York City,United States of America,high,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1543716091-a840c05249ec?q=80&w=1287&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A huge and energetic city famous for skyscrapers, parks, museums, and diverse neighborhoods. Visitors can explore landmarks, museums, Central Park, shops, restaurants, and entertainment venues."
Rio de Janeiro,Brazil,mid,1,1,1,1,1,1,0,1,1,1,1,1,1,1,https://images.unsplash.com/photo-1516306580123-e6e52b1b7b5f?q=80&w=2726&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A spectacular coastal city surrounded by mountains, beaches, and tropical landscapes. Activities include relaxing at beaches, hiking, sightseeing, exploring viewpoints, and enjoying Brazilian culture."
Buenos Aires,Argentina,mid,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1589909202802-8f4aadce1849?q=80&w=1335&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A vibrant city known for grand architecture, parks, neighborhoods, and Argentine food and culture. Visitors can explore historic areas, visit museums, enjoy parks, try local cuisine, and experience the city's lively atmosphere."
Cairo,Egypt,low,0,0,1,1,1,0,0,0,0,1,1,1,1,1,https://images.unsplash.com/photo-1628503218283-6ddeac69dfea?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A historic city filled with ancient monuments, bustling markets, and iconic landmarks along the Nile River. Activities include exploring the Pyramids and Sphinx, visiting world-class museums, wandering through traditional souks, and savoring Egyptian cuisine. "
